no;q2;sex;age;work;educ;tenure
4555;up by 3% but less than 4%;female;55-64;not working;low (GCSE);mortgage
4556;not changed;female;55-64;full or part time;low (GCSE);mortgage
4557;Gone down;male;65+;not working;low (GCSE);owned outright
4558;up by 2% but less than 3%;male;25-34;full or part time;low (GCSE);other (inc private rent pre-2016)
4559;not changed;male;35-44;full or part time;medium (A-Level);mortgage
4560;up by 5% or more;female;55-64;full or part time;low (GCSE);owned outright
4561;up by 3% but less than 4%;female;45-54;full or part time;medium (A-Level);owned outright
4562;up by 1% or less;male;45-54;full or part time;medium (A-Level);mortgage
4563;up by 1% but less than 2%;male;25-34;full or part time;high (Degree);mortgage
4564;not changed;male;65+;full or part time;high (Degree);owned outright
4565;not changed;female;45-54;full or part time;high (Degree);mortgage
4566;not changed;female;65+;not working;medium (A-Level);owned outright
4567;up by 1% or less;female;45-54;full or part time;high (Degree);mortgage
4568;Gone down;female;45-54;full or part time;low (GCSE);mortgage
4569;not changed;female;65+;not working;medium (A-Level);owned outright
4570;up by 3% but less than 4%;female;45-54;full or part time;low (GCSE);owned outright
4571;not changed;female;15-24;full or part time;medium (A-Level);mortgage
4572;up by 1% but less than 2%;female;45-54;full or part time;medium (A-Level);council rent
4573;not changed;female;15-24;not working;medium (A-Level);council rent
4574;up by 4% but less than 5%;male;55-64;not working;low (GCSE);council rent
4575;up by 3% but less than 4%;male;55-64;not working;medium (A-Level);council rent
4576;Gone down;male;25-34;full or part time;medium (A-Level);mortgage
4577;up by 5% or more;female;15-24;not working;medium (A-Level);council rent
4578;Gone down;male;55-64;not working;low (GCSE);mortgage
4579;up by 1% or less;female;35-44;full or part time;low (GCSE);mortgage
4580;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
4581;not changed;female;35-44;full or part time;low (GCSE);mortgage
4582;up by 2% but less than 3%;female;65+;not working;low (GCSE);owned outright
4583;up by 3% but less than 4%;male;15-24;not working;medium (A-Level);owned outright
4584;up by 2% but less than 3%;male;35-44;not working;medium (A-Level);council rent
4585;up by 2% but less than 3%;male;45-54;not working;medium (A-Level);council rent
4586;up by 2% but less than 3%;female;45-54;full or part time;medium (A-Level);owned outright
4587;Gone down;female;15-24;full or part time;medium (A-Level);mortgage
4588;up by 3% but less than 4%;male;45-54;full or part time;medium (A-Level);council rent
4589;up by 3% but less than 4%;male;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
4590;Gone down;male;25-34;full or part time;medium (A-Level);council rent
4591;up by 4% but less than 5%;female;65+;not working;medium (A-Level);council rent
4592;Gone down;female;45-54;not working;low (GCSE);council rent
4593;Gone down;male;45-54;not working;low (GCSE);council rent
4594;up by 2% but less than 3%;male;35-44;full or part time;high (Degree);owned outright
4595;up by 1% or less;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
4596;up by 1% but less than 2%;male;25-34;full or part time;high (Degree);mortgage
4597;up by 5% or more;female;35-44;full or part time;medium (A-Level);council rent
4598;not changed;female;65+;not working;medium (A-Level);council rent
4599;up by 4% but less than 5%;female;45-54;full or part time;medium (A-Level);mortgage
4600;not changed;female;45-54;full or part time;medium (A-Level);mortgage
4601;not changed;male;45-54;not working;high (Degree);other (inc private rent pre-2016)
4602;up by 1% but less than 2%;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
4603;up by 1% or less;female;55-64;not working;low (GCSE);mortgage
4604;not changed;female;15-24;not working;medium (A-Level);mortgage
4605;up by 4% but less than 5%;male;55-64;not working;medium (A-Level);owned outright
4606;up by 2% but less than 3%;female;45-54;full or part time;low (GCSE);other (inc private rent pre-2016)
4607;Gone down;female;35-44;full or part time;high (Degree);mortgage
4608;not changed;female;15-24;full or part time;high (Degree);mortgage
4609;not changed;male;35-44;full or part time;medium (A-Level);mortgage
4610;Gone down;male;25-34;full or part time;high (Degree);mortgage
4611;not changed;female;55-64;not working;high (Degree);mortgage
4612;not changed;male;55-64;full or part time;high (Degree);mortgage
4613;up by 1% or less;male;15-24;not working;high (Degree);other (inc private rent pre-2016)
4614;up by 4% but less than 5%;female;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
4615;up by 1% but less than 2%;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
4616;up by 2% but less than 3%;female;55-64;not working;low (GCSE);owned outright
4617;up by 4% but less than 5%;male;35-44;full or part time;high (Degree);mortgage
4618;up by 3% but less than 4%;female;65+;not working;medium (A-Level);owned outright
4619;up by 5% or more;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
4620;up by 3% but less than 4%;female;55-64;not working;medium (A-Level);other (inc private rent pre-2016)
4621;Gone down;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
4622;up by 1% but less than 2%;female;25-34;full or part time;high (Degree);mortgage
4623;Gone down;female;65+;full or part time;medium (A-Level);owned outright
4624;up by 2% but less than 3%;female;15-24;not working;low (GCSE);other (inc private rent pre-2016)
4625;up by 2% but less than 3%;male;15-24;full or part time;medium (A-Level);mortgage
4626;up by 5% or more;male;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
4627;up by 2% but less than 3%;male;55-64;full or part time;low (GCSE);mortgage
4628;up by 4% but less than 5%;female;35-44;full or part time;high (Degree);owned outright
4629;up by 1% but less than 2%;female;45-54;not working;low (GCSE);council rent
4630;up by 4% but less than 5%;male;65+;not working;medium (A-Level);mortgage
4631;up by 4% but less than 5%;male;55-64;full or part time;low (GCSE);mortgage
4632;up by 2% but less than 3%;female;45-54;full or part time;medium (A-Level);council rent
4633;up by 2% but less than 3%;female;25-34;not working;high (Degree);council rent
4634;up by 4% but less than 5%;female;15-24;full or part time;medium (A-Level);mortgage
4635;up by 3% but less than 4%;male;25-34;full or part time;high (Degree);mortgage
4636;Gone down;male;55-64;full or part time;high (Degree);mortgage
4637;up by 3% but less than 4%;female;35-44;full or part time;high (Degree);mortgage
4638;up by 1% but less than 2%;female;25-34;not working;medium (A-Level);mortgage
4639;up by 3% but less than 4%;female;35-44;full or part time;high (Degree);mortgage
4640;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
4641;Gone down;female;65+;not working;low (GCSE);owned outright
4642;up by 2% but less than 3%;male;35-44;not working;low (GCSE);other (inc private rent pre-2016)
4643;up by 2% but less than 3%;female;65+;not working;low (GCSE);council rent
4644;up by 5% or more;male;65+;not working;low (GCSE);council rent
4645;up by 4% but less than 5%;male;55-64;full or part time;medium (A-Level);council rent
4646;up by 2% but less than 3%;female;15-24;full or part time;medium (A-Level);council rent
4647;up by 3% but less than 4%;female;65+;not working;low (GCSE);council rent
4648;up by 3% but less than 4%;male;25-34;full or part time;medium (A-Level);council rent
4649;up by 2% but less than 3%;female;55-64;not working;high (Degree);council rent
4650;up by 3% but less than 4%;female;55-64;full or part time;high (Degree);owned outright
4651;up by 1% but less than 2%;male;55-64;full or part time;high (Degree);mortgage
4652;up by 2% but less than 3%;female;25-34;full or part time;high (Degree);mortgage
4653;up by 5% or more;male;25-34;full or part time;medium (A-Level);mortgage
4654;not changed;male;25-34;full or part time;medium (A-Level);mortgage
4655;up by 1% or less;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
4656;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
4657;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);mortgage
4658;up by 3% but less than 4%;female;55-64;not working;medium (A-Level);other (inc private rent pre-2016)
4659;up by 2% but less than 3%;male;15-24;not working;medium (A-Level);mortgage
4660;up by 2% but less than 3%;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
4661;up by 5% or more;male;25-34;full or part time;low (GCSE);other (inc private rent pre-2016)
4662;up by 1% or less;female;25-34;not working;low (GCSE);other (inc private rent pre-2016)
4663;up by 5% or more;male;15-24;full or part time;medium (A-Level);mortgage
4664;up by 2% but less than 3%;male;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
4665;up by 4% but less than 5%;female;25-34;not working;low (GCSE);council rent
4666;not changed;male;65+;not working;low (GCSE);council rent
4667;Gone down;male;35-44;not working;low (GCSE);council rent
4668;up by 4% but less than 5%;female;45-54;not working;medium (A-Level);owned outright
4669;up by 2% but less than 3%;male;45-54;not working;low (GCSE);owned outright
4670;up by 4% but less than 5%;male;25-34;full or part time;medium (A-Level);mortgage
4671;up by 2% but less than 3%;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
4672;up by 5% or more;female;35-44;full or part time;medium (A-Level);mortgage
4673;up by 4% but less than 5%;male;25-34;not working;low (GCSE);mortgage
4674;up by 2% but less than 3%;female;25-34;full or part time;medium (A-Level);owned outright
4675;up by 2% but less than 3%;female;35-44;full or part time;medium (A-Level);mortgage
4676;up by 1% or less;male;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
4677;up by 2% but less than 3%;female;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
4678;Gone down;male;35-44;full or part time;high (Degree);mortgage
4679;Gone down;male;15-24;full or part time;medium (A-Level);owned outright
4680;not changed;female;45-54;full or part time;medium (A-Level);mortgage
4681;up by 2% but less than 3%;male;65+;not working;low (GCSE);owned outright
4682;up by 2% but less than 3%;female;45-54;full or part time;high (Degree);owned outright
4683;up by 3% but less than 4%;male;15-24;not working;medium (A-Level);mortgage
4684;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
4685;up by 3% but less than 4%;female;55-64;not working;medium (A-Level);owned outright
4686;up by 2% but less than 3%;female;35-44;full or part time;low (GCSE);mortgage
4687;up by 2% but less than 3%;male;45-54;full or part time;high (Degree);mortgage
4688;up by 4% but less than 5%;female;35-44;full or part time;high (Degree);mortgage
4689;up by 5% or more;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
4690;up by 5% or more;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
4691;up by 4% but less than 5%;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
4692;Gone down;male;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
4693;up by 1% but less than 2%;female;35-44;full or part time;high (Degree);mortgage
4694;not changed;female;65+;not working;medium (A-Level);owned outright
4695;up by 5% or more;male;15-24;not working;medium (A-Level);owned outright
4696;not changed;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
4697;up by 4% but less than 5%;female;65+;not working;low (GCSE);owned outright
4698;up by 2% but less than 3%;male;65+;not working;medium (A-Level);owned outright
4699;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
4700;Gone down;male;55-64;not working;medium (A-Level);owned outright
4701;not changed;female;55-64;full or part time;medium (A-Level);mortgage
4702;up by 2% but less than 3%;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
4703;up by 1% but less than 2%;female;55-64;full or part time;medium (A-Level);owned outright
4704;not changed;male;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
4705;up by 1% but less than 2%;male;55-64;not working;low (GCSE);owned outright
4706;not changed;female;65+;not working;low (GCSE);owned outright
4707;up by 2% but less than 3%;male;65+;not working;medium (A-Level);owned outright
4708;up by 1% but less than 2%;female;55-64;not working;medium (A-Level);owned outright
4709;not changed;female;25-34;not working;high (Degree);mortgage
4710;up by 3% but less than 4%;male;25-34;full or part time;high (Degree);mortgage
4711;Gone down;female;25-34;not working;high (Degree);mortgage
4712;up by 1% but less than 2%;male;65+;not working;medium (A-Level);owned outright
4713;Gone down;female;35-44;full or part time;high (Degree);mortgage
4714;up by 2% but less than 3%;male;55-64;not working;medium (A-Level);other (inc private rent pre-2016)
4715;up by 1% or less;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
4716;up by 2% but less than 3%;female;65+;not working;medium (A-Level);other (inc private rent pre-2016)
4717;up by 3% but less than 4%;male;25-34;full or part time;medium (A-Level);owned outright
4718;up by 5% or more;male;65+;full or part time;low (GCSE);council rent
4719;Gone down;male;45-54;full or part time;medium (A-Level);owned outright
4720;up by 5% or more;female;45-54;full or part time;low (GCSE);owned outright
4721;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);council rent
4722;not changed;female;65+;not working;high (Degree);owned outright
4723;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
4724;up by 3% but less than 4%;male;25-34;full or part time;medium (A-Level);mortgage
4725;Gone down;female;65+;full or part time;medium (A-Level);mortgage
4726;Gone down;female;25-34;full or part time;medium (A-Level);mortgage
4727;up by 3% but less than 4%;female;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
4728;up by 5% or more;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
4729;up by 3% but less than 4%;male;55-64;full or part time;medium (A-Level);owned outright
4730;up by 5% or more;female;45-54;full or part time;low (GCSE);owned outright
4731;up by 5% or more;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
4732;up by 3% but less than 4%;female;65+;not working;low (GCSE);owned outright
4733;up by 3% but less than 4%;female;35-44;full or part time;high (Degree);mortgage
4734;up by 1% but less than 2%;male;55-64;full or part time;high (Degree);owned outright
4735;up by 1% but less than 2%;male;15-24;not working;medium (A-Level);owned outright
4736;up by 3% but less than 4%;male;35-44;full or part time;medium (A-Level);mortgage
4737;Gone down;male;45-54;full or part time;high (Degree);other (inc private rent pre-2016)
4738;up by 3% but less than 4%;female;65+;not working;medium (A-Level);owned outright
4739;up by 2% but less than 3%;male;35-44;full or part time;medium (A-Level);mortgage
4740;up by 1% but less than 2%;male;65+;full or part time;high (Degree);owned outright
4741;up by 1% but less than 2%;male;35-44;full or part time;high (Degree);owned outright
4742;up by 3% but less than 4%;female;35-44;full or part time;high (Degree);mortgage
4743;up by 2% but less than 3%;female;35-44;not working;medium (A-Level);owned outright
4744;up by 3% but less than 4%;male;45-54;not working;low (GCSE);council rent
4745;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);council rent
4746;not changed;female;15-24;not working;medium (A-Level);council rent
4747;up by 5% or more;male;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
4748;up by 5% or more;female;25-34;full or part time;low (GCSE);other (inc private rent pre-2016)
4749;up by 3% but less than 4%;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
4750;up by 5% or more;female;65+;full or part time;low (GCSE);owned outright
4751;not changed;female;55-64;not working;medium (A-Level);owned outright
4752;up by 2% but less than 3%;female;65+;not working;low (GCSE);owned outright
4753;up by 2% but less than 3%;female;35-44;full or part time;medium (A-Level);mortgage
4754;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
4755;Gone down;female;35-44;full or part time;medium (A-Level);mortgage
4756;up by 1% but less than 2%;male;25-34;full or part time;low (GCSE);mortgage
4757;up by 1% but less than 2%;female;55-64;not working;low (GCSE);owned outright
4758;up by 1% but less than 2%;female;25-34;full or part time;medium (A-Level);mortgage
4759;not changed;male;35-44;not working;medium (A-Level);mortgage
4760;up by 3% but less than 4%;female;25-34;full or part time;low (GCSE);mortgage
4761;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);mortgage
4762;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);mortgage
4763;up by 4% but less than 5%;female;65+;not working;low (GCSE);council rent
4764;up by 4% but less than 5%;male;25-34;not working;medium (A-Level);council rent
4765;Gone down;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
4766;up by 1% but less than 2%;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
4767;up by 2% but less than 3%;male;65+;not working;high (Degree);other (inc private rent pre-2016)
4768;up by 5% or more;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
4769;up by 2% but less than 3%;male;65+;not working;low (GCSE);council rent
4770;up by 4% but less than 5%;female;45-54;not working;low (GCSE);other (inc private rent pre-2016)
4771;up by 5% or more;female;25-34;not working;medium (A-Level);council rent
4772;up by 1% but less than 2%;female;65+;not working;low (GCSE);mortgage
4773;not changed;male;15-24;full or part time;medium (A-Level);mortgage
4774;up by 2% but less than 3%;male;65+;not working;low (GCSE);mortgage
4775;up by 3% but less than 4%;male;15-24;full or part time;medium (A-Level);council rent
4776;up by 5% or more;male;35-44;full or part time;medium (A-Level);mortgage
4777;up by 5% or more;male;55-64;full or part time;medium (A-Level);council rent
4778;up by 4% but less than 5%;male;15-24;full or part time;medium (A-Level);mortgage
4779;up by 5% or more;female;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
4780;not changed;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
4781;up by 5% or more;female;55-64;not working;medium (A-Level);owned outright
4782;up by 2% but less than 3%;female;55-64;not working;medium (A-Level);owned outright
4783;up by 1% or less;male;55-64;full or part time;medium (A-Level);owned outright
4784;not changed;male;55-64;full or part time;medium (A-Level);mortgage
4785;up by 4% but less than 5%;male;65+;not working;medium (A-Level);owned outright
4786;not changed;female;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
4787;up by 3% but less than 4%;male;25-34;full or part time;medium (A-Level);owned outright
4788;Gone down;female;25-34;full or part time;medium (A-Level);owned outright
4789;up by 5% or more;male;35-44;full or part time;medium (A-Level);mortgage
4790;up by 3% but less than 4%;male;15-24;full or part time;medium (A-Level);mortgage
4791;up by 2% but less than 3%;male;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
4792;up by 4% but less than 5%;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
4793;Gone down;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
4794;not changed;male;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
4795;up by 3% but less than 4%;male;65+;not working;high (Degree);owned outright
4796;up by 2% but less than 3%;male;55-64;full or part time;high (Degree);owned outright
4797;up by 4% but less than 5%;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
4798;Gone down;male;35-44;not working;high (Degree);mortgage
4799;not changed;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
4800;up by 1% or less;female;35-44;full or part time;high (Degree);council rent
4801;not changed;male;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
4802;not changed;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
4803;up by 1% or less;male;55-64;full or part time;medium (A-Level);other (inc private rent pre-2016)
4804;up by 1% or less;female;65+;not working;low (GCSE);council rent
4805;up by 1% but less than 2%;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
4806;up by 1% or less;male;45-54;full or part time;high (Degree);mortgage
4807;up by 1% or less;female;65+;not working;low (GCSE);owned outright
4808;up by 1% or less;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
4809;up by 1% or less;male;35-44;full or part time;low (GCSE);owned outright
4810;up by 1% or less;female;45-54;not working;low (GCSE);mortgage
4811;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);mortgage
4812;up by 3% but less than 4%;female;55-64;not working;low (GCSE);owned outright
4813;up by 3% but less than 4%;male;35-44;full or part time;low (GCSE);mortgage
4814;not changed;male;15-24;full or part time;medium (A-Level);mortgage
4815;up by 5% or more;male;65+;not working;medium (A-Level);council rent
4816;up by 1% or less;female;65+;not working;high (Degree);owned outright
4817;up by 2% but less than 3%;male;65+;not working;high (Degree);owned outright
4818;up by 1% but less than 2%;female;35-44;full or part time;high (Degree);mortgage
4819;up by 4% but less than 5%;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
4820;not changed;female;65+;not working;low (GCSE);owned outright
4821;up by 1% but less than 2%;female;25-34;not working;medium (A-Level);mortgage
4822;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
4823;up by 2% but less than 3%;female;45-54;full or part time;medium (A-Level);mortgage
4824;up by 1% but less than 2%;male;15-24;full or part time;medium (A-Level);mortgage
4825;not changed;female;35-44;full or part time;high (Degree);mortgage
4826;up by 3% but less than 4%;female;35-44;full or part time;medium (A-Level);mortgage
4827;up by 2% but less than 3%;male;65+;not working;medium (A-Level);council rent
4828;up by 2% but less than 3%;male;65+;not working;low (GCSE);owned outright
4829;up by 5% or more;male;45-54;full or part time;low (GCSE);mortgage
4830;not changed;male;55-64;full or part time;low (GCSE);owned outright
4831;up by 2% but less than 3%;female;65+;not working;medium (A-Level);owned outright
4832;up by 5% or more;female;65+;not working;medium (A-Level);owned outright
4833;up by 2% but less than 3%;female;65+;not working;medium (A-Level);owned outright
4834;up by 5% or more;male;25-34;full or part time;high (Degree);mortgage
4835;up by 2% but less than 3%;female;25-34;full or part time;medium (A-Level);owned outright
4836;up by 4% but less than 5%;female;35-44;full or part time;medium (A-Level);mortgage
4837;not changed;female;55-64;not working;low (GCSE);owned outright
4838;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);mortgage
4839;up by 1% or less;male;65+;not working;medium (A-Level);owned outright
4840;up by 5% or more;female;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
4841;up by 2% but less than 3%;male;45-54;full or part time;high (Degree);mortgage
4842;up by 5% or more;male;55-64;not working;medium (A-Level);owned outright
4843;not changed;male;55-64;not working;medium (A-Level);owned outright
4844;up by 5% or more;female;65+;not working;low (GCSE);owned outright
4845;not changed;female;35-44;full or part time;medium (A-Level);mortgage
4846;up by 2% but less than 3%;female;45-54;full or part time;medium (A-Level);mortgage
4847;Gone down;female;45-54;full or part time;high (Degree);mortgage
4848;up by 4% but less than 5%;male;25-34;full or part time;medium (A-Level);owned outright
4849;Gone down;female;35-44;full or part time;medium (A-Level);mortgage
4850;up by 2% but less than 3%;female;25-34;full or part time;medium (A-Level);mortgage
4851;up by 1% but less than 2%;male;35-44;full or part time;high (Degree);mortgage
4852;up by 2% but less than 3%;female;65+;not working;low (GCSE);owned outright
4853;up by 1% but less than 2%;male;65+;not working;low (GCSE);owned outright
4854;up by 4% but less than 5%;female;35-44;full or part time;medium (A-Level);council rent
4855;not changed;male;15-24;not working;medium (A-Level);mortgage
4856;up by 5% or more;male;45-54;full or part time;medium (A-Level);owned outright
4857;Gone down;female;35-44;full or part time;high (Degree);mortgage
4858;Gone down;female;35-44;full or part time;medium (A-Level);mortgage
4859;up by 1% but less than 2%;male;65+;not working;low (GCSE);owned outright
4860;up by 4% but less than 5%;male;65+;not working;medium (A-Level);owned outright
4861;up by 5% or more;female;65+;not working;low (GCSE);owned outright
4862;up by 4% but less than 5%;male;35-44;full or part time;medium (A-Level);mortgage
4863;up by 1% or less;female;45-54;full or part time;high (Degree);mortgage
4864;Gone down;male;65+;not working;low (GCSE);owned outright
4865;up by 1% but less than 2%;male;15-24;full or part time;medium (A-Level);mortgage
4866;up by 2% but less than 3%;male;55-64;full or part time;medium (A-Level);owned outright
4867;up by 1% or less;male;45-54;full or part time;high (Degree);owned outright
4868;up by 2% but less than 3%;male;35-44;full or part time;medium (A-Level);mortgage
4869;up by 3% but less than 4%;female;15-24;full or part time;medium (A-Level);mortgage
4870;up by 3% but less than 4%;female;25-34;not working;medium (A-Level);mortgage
4871;not changed;female;25-34;full or part time;high (Degree);mortgage
4872;up by 5% or more;female;45-54;full or part time;medium (A-Level);mortgage
4873;up by 2% but less than 3%;male;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
4874;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
4875;up by 5% or more;female;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
4876;up by 3% but less than 4%;male;35-44;full or part time;medium (A-Level);mortgage
4877;up by 3% but less than 4%;male;45-54;full or part time;medium (A-Level);mortgage
4878;up by 2% but less than 3%;female;15-24;not working;medium (A-Level);owned outright
4879;up by 5% or more;male;25-34;not working;low (GCSE);council rent
4880;up by 5% or more;female;45-54;full or part time;low (GCSE);owned outright
4881;up by 5% or more;female;35-44;full or part time;high (Degree);mortgage
4882;up by 5% or more;male;65+;not working;low (GCSE);owned outright
4883;up by 3% but less than 4%;female;35-44;full or part time;high (Degree);mortgage
4884;up by 5% or more;female;45-54;not working;low (GCSE);mortgage
4885;up by 2% but less than 3%;female;35-44;full or part time;high (Degree);mortgage
4886;not changed;male;55-64;full or part time;medium (A-Level);mortgage
4887;up by 5% or more;female;65+;not working;low (GCSE);owned outright
4888;up by 5% or more;male;65+;not working;medium (A-Level);owned outright
4889;up by 1% or less;male;65+;not working;high (Degree);owned outright
4890;up by 5% or more;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
4891;Gone down;female;25-34;full or part time;medium (A-Level);mortgage
4892;not changed;female;35-44;full or part time;high (Degree);mortgage
4893;up by 1% or less;male;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
4894;Gone down;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
4895;up by 5% or more;male;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
4896;not changed;female;45-54;not working;medium (A-Level);owned outright
4897;up by 3% but less than 4%;female;45-54;full or part time;medium (A-Level);owned outright
4898;up by 2% but less than 3%;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
4899;up by 5% or more;male;35-44;full or part time;low (GCSE);council rent
4900;up by 2% but less than 3%;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
4901;up by 3% but less than 4%;female;45-54;not working;low (GCSE);council rent
4902;up by 1% or less;female;25-34;full or part time;medium (A-Level);mortgage
4903;up by 2% but less than 3%;male;25-34;full or part time;high (Degree);mortgage
4904;not changed;male;45-54;full or part time;medium (A-Level);mortgage
4905;up by 1% but less than 2%;female;35-44;full or part time;low (GCSE);council rent
4906;up by 2% but less than 3%;female;45-54;full or part time;high (Degree);mortgage
4907;not changed;male;35-44;full or part time;high (Degree);mortgage
4908;Gone down;female;35-44;full or part time;high (Degree);mortgage
4909;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);mortgage
4910;up by 4% but less than 5%;male;15-24;not working;medium (A-Level);mortgage
4911;up by 1% but less than 2%;female;25-34;full or part time;medium (A-Level);mortgage
4912;up by 1% but less than 2%;male;25-34;full or part time;high (Degree);mortgage
4913;up by 4% but less than 5%;male;45-54;full or part time;medium (A-Level);mortgage
4914;up by 4% but less than 5%;male;25-34;full or part time;high (Degree);mortgage
4915;up by 2% but less than 3%;female;45-54;full or part time;low (GCSE);council rent
4916;up by 4% but less than 5%;male;55-64;not working;high (Degree);council rent
4917;Gone down;female;25-34;full or part time;medium (A-Level);mortgage
4918;up by 1% or less;male;25-34;not working;high (Degree);other (inc private rent pre-2016)
4919;not changed;female;65+;not working;medium (A-Level);other (inc private rent pre-2016)
4920;up by 2% but less than 3%;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
4921;not changed;male;35-44;not working;low (GCSE);other (inc private rent pre-2016)
4922;up by 4% but less than 5%;female;15-24;not working;high (Degree);council rent
4923;up by 5% or more;male;25-34;full or part time;high (Degree);mortgage
4924;not changed;female;35-44;not working;low (GCSE);other (inc private rent pre-2016)
4925;Gone down;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
4926;up by 1% but less than 2%;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
4927;not changed;male;55-64;full or part time;high (Degree);mortgage
4928;up by 3% but less than 4%;male;45-54;full or part time;medium (A-Level);mortgage
4929;Gone down;female;45-54;not working;medium (A-Level);council rent
4930;up by 2% but less than 3%;male;25-34;not working;medium (A-Level);owned outright
4931;not changed;male;65+;not working;low (GCSE);owned outright
4932;Gone down;male;25-34;not working;high (Degree);other (inc private rent pre-2016)
4933;up by 1% or less;female;35-44;full or part time;medium (A-Level);mortgage
4934;up by 4% but less than 5%;male;45-54;full or part time;low (GCSE);mortgage
4935;not changed;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
4936;Gone down;female;55-64;not working;high (Degree);council rent
4937;Gone down;female;65+;not working;high (Degree);owned outright
4938;up by 2% but less than 3%;female;35-44;not working;medium (A-Level);mortgage
4939;not changed;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
4940;Gone down;male;45-54;not working;low (GCSE);other (inc private rent pre-2016)
4941;not changed;female;35-44;not working;medium (A-Level);mortgage
